Survived,Pclass,Sex,Age,Siblings/Spouses Aboard,Parents/Children Aboard,Fare,Name
0,3,male,47,0,0,7.25,Mr. William James Elsbury
0,3,female,40,0,2,7.75,Miss. Mary Bourke
0,2,male,37,1,0,26,Mr. John Henry Chapman
0,3,male,36,1,1,24.15,Mr. Jean Baptiste Van Impe
1,2,female,31,0,0,33,Miss. Jessie Wills Leitch
0,3,male,49,0,0,0,Mr. Alfred Johnson
0,3,male,18,0,0,7.225,Mr. Hanna Boulos
1,1,male,49,1,0,56.9292,Sir. Cosmo Edmund Duff Gordon
1,2,female,24,2,1,27,Mrs. Sidney Samuel (Amy Frances Christy) Jacobsohn
0,3,male,42,0,0,7.8958,Mr. Petco Slabenoff
0,1,male,37,0,0,42.4,Mr. Charles H Harrington
0,3,male,44,0,0,8.05,Mr. Ernst William Torber
1,1,male,35,0,0,26.55,Mr. Harry Homer
0,3,male,36,1,0,15.55,Mr. Edvard Bengtsson Lindell
0,3,male,30,0,0,7.8958,Mr. Milan Karaic
1,1,male,27,0,0,30.5,Mr. Robert Williams Daniel
1,2,female,22,1,2,41.5792,Mrs. Joseph (Juliette Marie Louise Lafargue) Laroche
1,1,female,40,0,0,153.4625,Miss. Elizabeth W Shutes
0,3,female,39,1,5,31.275,Mrs. Anders Johan (Alfrida Konstantia Brogren) Andersson
0,3,male,21,0,0,7.05,Mr. Jose Neto Jardin
1,3,female,18,1,0,15.5,Miss. Margaret Jane Murphy
0,3,male,22,0,0,7.75,Mr. John Horgan
0,3,male,35,0,0,8.05,Mr. William Alfred Brocklebank
1,2,female,24,1,2,65,Miss. Alice Herman
0,3,male,34,1,1,14.4,Mr. Ernst Gilbert Danbom
0,3,female,26,1,0,16.1,Mrs. William Arthur (Cordelia K Stanlick) Lobb
1,2,female,4,2,1,39,Miss. Marion Louise Becker
0,2,male,26,0,0,10.5,Mr. Lawrence Gavey
0,3,male,27,1,0,14.4542,Mr. Antoni Yasbeck
1,1,male,42,1,0,52.5542,Mr. Edwin Nelson Jr Kimball
1,3,male,20,1,1,15.7417,Mr. Sahid Nakid
0,3,male,21,0,0,7.8542,Mr. Henry Damsgaard Hansen
0,3,male,21,0,0,16.1,Mr. David John Bowen
0,1,male,61,0,0,32.3208,Mr. Frederick Sutton
0,2,male,57,0,0,12.35,Rev. Charles Leonard Kirkland
1,1,female,21,0,0,77.9583,Miss. Gretchen Fiske Longley
0,3,male,26,0,0,7.8958,Mr. Guentcho Bostandyeff
0,3,male,18,0,0,7.7333,Mr. Patrick D O'Connell
1,1,male,80,0,0,30,Mr. Algernon Henry Wilson Barkworth
0,3,male,51,0,0,7.0542,Mr. Johan Svensson Lundahl
1,1,male,32,0,0,30.5,Dr. Max Stahelin-Maeglin
0,1,male,30,0,0,0,Mr. William Henry Marsh Parr
0,3,female,9,3,2,27.9,Miss. Mabel Skoog
1,2,female,28,0,0,13,Miss. Mary Davis
0,3,male,32,0,0,7.925,Mr. Antti Gustaf Leinonen
0,2,male,31,1,1,26.25,Mr. Harvey Collyer
0,3,female,41,0,5,39.6875,Mrs. Juha (Maria Emilia Ojala) Panula
0,3,male,37,1,0,16.1,Mr. Percival Thorneycroft
0,3,male,20,0,0,7.8542,Mr. Hans Peder Jensen
1,1,female,24,0,0,69.3,Mlle. Emma Sagesser
0,3,female,2,3,2,27.9,Miss. Margit Elizabeth Skoog
1,3,male,32,0,0,56.4958,Mr. Choong Foo
1,3,female,0.75,2,1,19.2583,Miss. Eugenie Baclini
1,1,male,48,1,0,76.7292,Mr. Henry Sleeper Harper
0,3,male,19,0,0,7.8958,Mr. Liudevit Cor
1,1,male,56,0,0,35.5,Col. Oberst Alfons Simonius-Blumer
0,3,male,21,0,0,7.55,Mr. Edward Willey
1,3,female,23,0,0,7.55,Miss. Amy Zillah Elsie Stanley
0,3,male,23,0,0,7.8958,Mr. Mito Mitkoff
1,2,female,18,0,1,23,Miss. Elsie Doling
0,3,male,21,0,0,8.4333,Mr. Johannes Halvorsen Kalvik
1,3,female,16,0,0,7.8292,Miss. Hanora O'Leary
0,3,female,18,0,0,6.75,Miss. Hanora Hegarty
0,2,male,24,2,0,73.5,Mr. Leonard Mark Hickman
0,3,male,27,0,0,7.8958,Mr. Alexander Radeff
0,3,female,32,1,1,15.5,Mrs. John (Catherine) Bourke
0,2,male,23,0,0,13,Mr. George Floyd Eitemiller
0,1,male,58,0,2,113.275,Mr. Arthur Webster Newell
1,1,male,50,2,0,133.65,Dr. Henry William Frauenthal
0,3,male,40,0,0,7.225,Mr. Mohamed Badt
0,1,male,47,0,0,25.5875,Mr. Edward Pomeroy Colley
0,3,male,36,0,0,7.4958,Mr. Peju Coleff
1,3,male,20,1,0,7.925,Mr. Eino William Lindqvist
0,2,male,32,2,0,73.5,Mr. Lewis Hickman
0,2,male,25,0,0,13,Mr. Reginald Fenton Butler
0,3,male,49,0,0,7.775,Mr. Knud Paust Rommetvedt
0,3,male,43,0,0,8.05,Mr. Jacob Cook
1,1,female,48,1,0,52,Mrs. Elmer Zebley (Juliet Cummins Wright) Taylor
1,2,female,40,1,1,39,Mrs. Thomas William Solomon (Elizabeth Catherine Ford) Brown
0,1,male,31,1,0,52,Mr. Thornton Davidson
0,2,male,70,0,0,10.5,Mr. Henry Michael Mitchell
1,2,male,31,0,0,13,Mr. Charles Wilhelms
0,2,male,19,0,0,0,Mr. Ennis Hastings Watson
0,3,male,18,0,0,7.775,Mr. Gustaf Hjalmar Edvardsson
0,3,male,24.5,0,0,8.05,Mr. Frederick Charles Sawyer
1,3,female,18,0,0,9.8417,Miss. Anna Sofia Turja
0,3,female,43,1,6,46.9,Mrs. Frederick (Augusta Tyler) Goodwin
1,1,male,36,0,1,512.3292,Mr. Thomas Drake Martinez Cardeza
0,3,female,28,0,0,8.1375,Miss. Katie Peters
1,1,male,27,0,0,76.7292,Mr. Hammad Hassab
0,3,male,20,0,0,9.225,Mr. Thor Anderson Olsvigen
0,3,male,14,5,2,46.9,Mr. Charles Edward Goodwin
0,2,male,60,1,1,39,Mr. Thomas William Solomon Brown
0,2,male,25,1,2,41.5792,Mr. Joseph Philippe Lemercier Laroche
0,3,male,14,4,1,39.6875,Mr. Jaako Arnold Panula
0,3,male,19,0,0,10.1708,Mr. Branko Dakic
0,3,male,18,0,0,7.7958,Mr. Eberhard Thelander Fischer
1,1,female,15,0,1,211.3375,Miss. Georgette Alexandra Madill
1,1,male,31,1,0,57,Mr. Albert Adrian Dick
1,3,female,4,0,1,13.4167,Miss. Manca Karun
1,3,male,37,0,0,56.4958,Mr. Ali Lam
0,3,male,25,0,0,7.225,Mr. Khalil Saad
0,1,male,60,0,0,26.55,Col. John Weir
0,2,male,52,0,0,13.5,Mr. Charles Henry Chapman
0,3,male,44,0,0,8.05,Mr. James Kelly
1,3,female,19,0,0,7.7333,Miss. Katherine Mullens
0,1,male,49,1,1,110.8833,Mr. John Borland Thayer
0,3,male,42,0,0,7.65,Mr. Adolf Mathias Nicolai Olsen Humblen
1,1,female,18,1,0,227.525,Mrs. John Jacob (Madeleine Talmadge Force) Astor
1,1,male,35,0,0,26.2875,Mr. Spencer Victor Silverthorne
0,3,female,18,0,1,14.4542,Miss. Saiide Barbara
0,3,male,25,0,0,7.7417,Mr. Martin Gallagher
0,3,male,26,1,0,7.8542,Mr. Henrik Juul Hansen
0,2,male,39,0,0,26,Mr. Henry Samuel Morley
1,2,female,45,0,0,13.5,Mrs. Florence Kelly
1,1,male,42,0,0,26.2875,Mr. Edward Pennington Calderhead
1,1,female,22,0,0,151.55,Miss. Alice Cleaver
1,3,male,4,1,1,15.2458,Master. Halim Gonios Moubarek
1,1,female,24,0,0,49.5042,Mlle. Berthe Antonine Mayne
0,1,male,41,0,0,26.55,Mr. Herman Klaber
1,1,male,48,1,0,52,Mr. Elmer Zebley Taylor
0,3,male,29,0,0,9.4833,Mr. August Viktor Larsson
0,2,male,52,0,0,13,Mr. Samuel Greenberg
0,3,male,19,0,0,7.65,Mr. Peter Andreas Lauritz Andersen Soholt
1,1,female,38,0,0,227.525,Miss. Caroline Louise Endres
1,2,female,27,0,0,10.5,Miss. Edwina Celia Troutt
0,3,male,33,0,0,7.775,Mr. Malkolm Joackim Johnson
1,2,female,6,0,1,33,Miss. Annie Jessie Harper
0,3,male,17,1,0,7.0542,Mr. Svend Lauritz Jensen
0,2,male,34,0,0,13,Mr. William Henry Gillespie
0,2,male,50,0,0,13,Mr. Henry Price Hodges
1,1,male,27,1,0,53.1,Mr. Norman Campbell Chambers
0,3,male,20,0,0,8.6625,Mr. Luka Oreskovic
1,2,female,30,3,0,21,Mrs. Peter Henry (Lillian Jefferys) Renouf
1,3,female,28,0,0,7.7375,Miss. Margareth Mannion
0,2,male,25,1,0,26,Mr. Kurt Arnold Gottfrid Bryhl
0,3,female,25,1,0,7.925,Miss. Pieta Sofia Ilmakangas
1,1,female,29,0,0,211.3375,Miss. Elisabeth Walton Allen
0,3,male,11,0,0,18.7875,Mr. Houssein G N Hassan
0,2,male,41,0,0,0,Mr. Robert J Knight
0,2,male,23,0,0,13,Mr. William John Berriman
0,2,male,23,0,0,13,Mr. Moses Aaron Troupiansky
0,3,male,28.5,0,0,16.1,Mr. Leslie Williams
0,3,female,48,1,3,34.375,Mrs. Edward (Margaret Ann Watson) Ford
1,1,male,35,0,0,512.3292,Mr. Gustave J Lesurer
0,3,male,20,0,0,7.8958,Mr. Kanio Ivanoff
0,3,male,32,0,0,7.8958,Mr. Minko Nankoff
1,1,male,45,0,0,30,Mr. Walter James Hawksford
0,1,male,36,1,0,78.85,Mr. Tyrell William Cavendish
1,1,female,21,2,2,262.375,Miss. Susan Parker Ryerson
0,3,male,24,1,0,16.1,Mr. Neal McNamee
1,3,male,31,0,0,7.925,Mr. Juho Stranden
0,1,male,70,1,1,71,Capt. Edward Gifford Crosby
0,3,male,16,1,1,20.25,Mr. Rossmore Edward Abbott
1,2,female,30,0,0,13,Miss. Anna Sinkkonen
0,1,male,19,1,0,53.1,Mr. Daniel Warner Marvin
0,3,male,31,0,0,7.75,Mr. Michael Connaghton
1,2,female,4,1,1,23,Miss. Joan Wells
1,3,male,6,0,1,12.475,Master. Meier Moor
0,3,male,33,0,0,9.5,Mr. Johannes Joseph Vande Velde
0,3,male,23,0,0,7.8958,Mr. Lalio Jonkoff
1,2,female,48,1,2,65,Mrs. Samuel (Jane Laver) Herman
1,2,male,0.67,1,1,14.5,Master. Viljo Hamalainen
0,3,male,28,0,0,7.7958,Mr. August Sigfrid Carlsson
0,2,male,18,0,0,11.5,Mr. Percy Andrew Bailey
0,3,male,34,0,0,8.05,Mr. Thomas Leonard Theobald
1,1,female,33,0,0,86.5,the Countess. of (Lucy Noel Martha Dyer-Edwards) Rothes
0,3,male,23,0,0,14.5,Mr. John Garfirth
0,3,male,41,0,0,7.125,Mr. Iisakki Antino Aijo Nirva
1,3,male,20,0,0,7.2292,Mr. Hanna Assi Barah
1,1,female,36,1,2,120,Mrs. William Ernest (Lucile Polk) Carter
0,3,male,16,0,0,7.775,Mr. Hans Linus Eklund
1,1,female,51,1,0,77.9583,Mrs. John C (Anna Andrews) Hogeboom
0,1,male,46,0,0,39.6,Dr. Arthur Jackson Brewe
0,3,female,30.5,0,0,7.75,Miss. Mary Mangan
0,3,male,28,1,0,24.15,Mr. Daniel J Moran
0,3,male,32,0,0,8.3625,Mr. Daniel Danielsen Gronnestad
0,3,male,24,0,0,9.5,Mr. Rene Aime Lievens
0,3,male,48,0,0,7.8542,Mr. Niels Peder Jensen
0,2,female,57,0,0,10.5,Mrs. (Mary) Mack
0,3,male,29,0,0,7.225,Mr. Dibo Elias
1,2,female,54,1,3,23,Mrs. Elizabeth (Eliza Needs) Hocking
0,3,male,18,0,0,7.75,Mr. Pehr Fabian Oliver Malkolm Myhrman
0,3,male,20,0,0,7.75,Mr. Roger Tobin
1,3,female,5,0,0,12.475,Miss. Virginia Ethel Emanuel
0,3,male,22,0,0,7.7375,Mr. Thomas J Kilgannon
1,1,female,43,0,1,211.3375,Mrs. Edward Scott (Elisabeth Walton McMillan) Robert
1,3,female,13,0,0,7.2292,Miss. Banoura Ayoub
1,1,female,17,1,0,57,Mrs. Albert Adrian (Vera Gillespie) Dick
0,1,male,29,0,0,30,Mr. Milton Clyde Long
0,3,male,35,1,2,23.45,Mr. Andrew G Johnston
0,3,male,25,0,0,7.05,Mr. William Ali
0,3,male,25,0,0,7.25,Mr. Abraham (David Lishin) Harmer
1,3,female,18,0,0,7.4958,Miss. Anna Sofia Sjoblom
0,3,male,8,4,1,29.125,Master. George Hugh Rice
1,3,male,1,1,2,20.575,Master. Bertram Vere Dean
0,1,male,46,0,0,79.2,Mr. Benjamin Guggenheim
0,3,male,20,0,0,7.75,Mr. Andrew Keane
0,2,male,16,0,0,26,Mr. Alfred Gaskell
0,3,female,21,8,2,69.55,Miss. Stella Anna Sage
0,1,male,43,0,0,30.6958,Mr. William Fisher Hoyt
0,3,male,25,0,0,7.8958,Mr. Ristiu Dantcheff
0,2,male,39,0,0,13,Mr. Richard Otter
1,1,female,49,0,0,25.9292,Dr. Alice (Farnham) Leader
1,3,female,31,0,0,8.6833,Mrs. Mara Osman
0,3,male,30,0,0,7.2292,Mr. Yousseff Ibrahim Shawah
0,3,female,30,1,1,24.15,Mrs. Jean Baptiste (Rosalie Paula Govaert) Van Impe
0,2,male,34,0,0,13,Mr. Martin Ponesell
1,2,female,31,1,1,26.25,Mrs. Harvey (Charlotte Annie Tate) Collyer
1,1,male,11,1,2,120,Master. William Thornton II Carter
1,3,male,0.42,0,1,8.5167,Master. Assad Alexander Thomas
1,3,male,27,0,0,6.975,Mr. Oskar Arvid Hedman
0,3,male,31,0,0,7.775,Mr. Karl Johan Johansson
0,1,male,39,0,0,0,Mr. Thomas Jr Andrews
0,3,female,18,0,0,7.775,Miss. Ellen Natalia Pettersson
0,2,male,39,0,0,13,Mr. August Meyer
1,1,female,33,1,0,53.1,Mrs. Norman Campbell (Bertha Griggs) Chambers
0,3,male,26,0,0,7.8875,Mr. William Alexander
0,3,male,39,0,0,24.15,Mr. James Lester
0,2,male,35,0,0,10.5,Mr. Richard James Slemen
0,3,female,6,4,2,31.275,Miss. Ebba Iris Alfrida Andersson
0,3,male,30.5,0,0,8.05,Mr. Ernest Portage Tomlin
0,1,male,39,0,0,0,Mr. Richard Fry
0,3,female,23,0,0,7.925,Miss. Wendla Maria Heininen
0,2,male,31,1,1,37.0042,Mr. Albert Mallet
0,3,male,43,0,0,6.45,Mr. John Fredrik Alexander Holm
0,3,male,10,3,2,27.9,Master. Karl Thorsten Skoog
1,1,female,52,1,1,93.5,Mrs. Charles Melville (Clara Jennings Gregg) Hays
1,3,male,27,0,0,8.6625,Mr. Nikola Lulic
0,1,male,38,0,0,0,Jonkheer. John George Reuchlin
1,3,female,27,0,1,12.475,Mrs. (Beila) Moor
0,3,male,2,4,1,39.6875,Master. Urho Abraham Panula
0,3,male,36,0,0,6.95,Mr. John Flynn
0,3,male,23,0,0,56.4958,Mr. Len Lam
1,2,male,1,0,2,37.0042,Master. Andre Mallet
1,3,male,19,0,0,7.75,Mr. Thomas Joseph McCormack
1,1,female,62,0,0,80,Mrs. George Nelson (Martha Evelyn) Stone
1,3,female,15,1,0,14.4542,Mrs. Antoni (Selini Alexander) Yasbeck
1,2,male,0.83,1,1,18.75,Master. George Sibley Richards
0,3,male,30,0,0,7.2292,Mr. Amin Saad
0,3,male,23,0,0,7.8542,Mr. Albert Augustsson
0,3,male,18,0,0,8.3,Mr. Owen George Allum
1,1,female,39,1,1,83.1583,Miss. Sara Rebecca Compton
0,3,male,21,0,0,8.6625,Mr. Jakob Pasic
0,3,male,20,0,0,8.05,Mr. Maurice Sirota
1,3,male,32,0,0,56.4958,Mr. Chang Chip
1,1,male,29,0,0,29.7,Mr. Pierre Marechal
0,3,male,20,0,0,7.925,Mr. Ilmari Rudolf Alhomaki
0,2,male,16,0,0,10.5,Mr. Thomas Charles Mudd
1,1,female,30,0,0,31,Miss. Augusta Serepeca
0,3,male,34.5,0,0,6.4375,Mr. Peter L Lemberopolous
0,3,male,17,0,0,8.6625,Mr. Jeso Culumovic
0,3,male,42,0,0,7.55,Mr. Anthony Abbing
0,3,male,18,8,2,69.55,Mr. Douglas Bullen Sage
0,3,male,35,0,0,7.8958,Mr. Marin Markoff
0,2,male,28,0,1,33,Rev. John Harper
1,1,female,40,1,0,89.1042,Mrs. Samuel L (Edwiga Grabowska) Goldenberg
0,3,male,4,4,2,31.275,Master. Sigvard Harald Elias Andersson
0,3,male,74,0,0,7.775,Mr. Johan Svensson
0,3,female,9,1,1,15.2458,Miss. Nourelain Boulos
1,1,female,16,0,1,39.4,Miss. Mary Conover Lines
0,2,female,44,1,0,26,Mrs. Ernest Courtenay (Lilian Hughes) Carter
1,3,female,18,0,1,9.35,Mrs. Sam (Leah Rosen) Aks
1,1,female,45,1,1,164.8667,Mrs. George Dennick (Mary Hitchcock) Wick
1,1,male,51,0,0,26.55,Mr. Peter Denis Daly
1,3,female,24,0,3,19.2583,Mrs. Solomon (Latifa Qurban) Baclini
0,3,male,30,0,0,7.2292,Mr. Raihed Razi
0,3,male,41,2,0,14.1083,Mr. Claus Peter Hansen
0,2,male,21,1,0,11.5,Mr. Frederick Edward Giles
1,1,female,48,0,0,25.9292,Mrs. Frederick Joel (Margaret Welles Barron) Swift
0,3,female,14,8,2,69.55,Miss. Dorothy Edith Sage
0,2,male,24,0,0,13,Mr. John William Gill
1,2,female,42,0,0,13,Mrs. (Karolina) Bystrom
1,2,female,27,1,0,13.8583,Miss. Asuncion Duran y More
0,1,male,31,0,0,50.4958,Mr. Washington Augustus II Roebling
0,3,male,23,0,0,9.5,Mr. Philemon van Melkebeke
1,3,male,4,1,1,11.1333,Master. Harold Theodor Johnson
0,3,male,26,0,0,7.8958,Mr. Cerin Balkic
1,1,female,47,1,1,52.5542,Mrs. Richard Leonard (Sallie Monypeny) Beckwith
0,1,male,33,0,0,5,Mr. Frans Olof Carlsson
0,3,male,47,0,0,9,Mr. Victor Vander Cruyssen
1,2,female,28,1,0,24,Mrs. Samuel (Hannah Wizosky) Abelson
1,3,female,15,0,0,7.225,Miss. Adele Kiamie Najib
0,3,male,20,0,0,9.8458,Mr. Alfred Ossian Gustafsson
0,3,male,19,0,0,7.8958,Mr. Nedelio Petroff
0,3,male,23,0,0,7.8958,Mr. Kristo Laleff
1,1,female,56,0,1,83.1583,Mrs. Thomas Jr (Lily Alexenia Wilson) Potter
1,2,female,25,0,1,26,Mrs. William (Imanita Parrish Hall) Shelley
0,3,male,33,0,0,7.8958,Mr. Johann Markun
0,3,female,22,0,0,10.5167,Miss. Gerda Ulrika Dahlberg
0,2,male,28,0,0,10.5,Mr. Frederick James Banfield
0,3,male,25,0,0,7.05,Mr. Henry Jr Sutehall
0,3,female,39,0,5,29.125,Mrs. William (Margaret Norton) Rice
0,2,male,27,0,0,13,Rev. Juozas Montvila
1,1,female,19,0,0,30,Miss. Margaret Edith Graham
0,3,female,7,1,2,23.45,Miss. Catherine Helen Johnston
1,1,male,26,0,0,30,Mr. Karl Howell Behr
0,3,male,32,0,0,7.75,Mr. Patrick Dooley
